FIPS,Name of Area,Qualifying Name,State (FIPS),County,Census Tract,Total Population,Total Population,Population Density (Per Sq. Mile),Area (Land),Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,Total Population: Hispanic or Latino,Total Population: Hispanic or Latino: Two or More Races,Total: Two or More Asian
6037115104,Census Tract 1151.04,"Census Tract 1151.04, Los Angeles County, California",6,37,115104,4752,4752,12064.27,0.393890242,4752,2035,834,8,970,19,655,231,1374,51,63
6037115201,Census Tract 1152.01,"Census Tract 1152.01, Los Angeles County, California",6,37,115201,6909,6909,13092.38,0.527711711,6909,4353,319,15,992,0,893,337,1832,100,0
6037115202,Census Tract 1152.02,"Census Tract 1152.02, Los Angeles County, California",6,37,115202,5328,5328,7942.064,0.670858321,5328,2721,525,0,787,0,1022,273,2090,1,0
6037115301,Census Tract 1153.01,"Census Tract 1153.01, Los Angeles County, California",6,37,115301,4600,4600,7346.192,0.626174716,4600,2760,304,11,1042,0,292,191,926,154,26
6037115302,Census Tract 1153.02,"Census Tract 1153.02, Los Angeles County, California",6,37,115302,4132,4132,12847.6,0.321616548,4132,2175,278,12,448,0,1171,48,2851,23,6
6037115401,Census Tract 1154.01,"Census Tract 1154.01, Los Angeles County, California",6,37,115401,6219,6219,8454.475,0.735586806,6219,3722,308,0,801,6,1277,105,3097,19,0
6037115403,Census Tract 1154.03,"Census Tract 1154.03, Los Angeles County, California",6,37,115403,3722,3722,13698.09,0.271716703,3722,1696,256,0,562,0,990,218,2101,166,2
6037115404,Census Tract 1154.04,"Census Tract 1154.04, Los Angeles County, California",6,37,115404,2926,2926,8005.841,0.365483161,2926,1406,281,29,395,41,623,151,1463,115,2
6037117101,Census Tract 1171.01,"Census Tract 1171.01, Los Angeles County, California",6,37,117101,5115,5115,17164.51,0.297998678,5115,1036,215,0,1991,0,1563,310,2350,109,26
6037117102,Census Tract 1171.02,"Census Tract 1171.02, Los Angeles County, California",6,37,117102,2839,2839,7120.264,0.398721152,2839,1620,47,9,210,0,892,61,1814,20,0
6037117201,Census Tract 1172.01,"Census Tract 1172.01, Los Angeles County, California",6,37,117201,4785,4785,15654.7,0.305658945,4785,2148,91,0,686,0,1595,265,3328,160,29
6037117202,Census Tract 1172.02,"Census Tract 1172.02, Los Angeles County, California",6,37,117202,2577,2577,3679.64,0.70034031,2577,1211,228,28,737,0,229,144,847,0,16
6037117301,Census Tract 1173.01,"Census Tract 1173.01, Los Angeles County, California",6,37,117301,4005,4005,7788.014,0.514251803,4005,2241,90,0,723,0,675,276,1323,135,42
