FIPS,Name of Area,Qualifying Name,State (FIPS),County,Census Tract,Total Population,Housing Units,Occupied Housing Units:,Occupied Housing Units: Owner Occupied,Occupied Housing Units: Renter Occupied
6065043307,"Census Tract 433.07, Riverside County, California","Census Tract 433.07, Riverside County, California",6,65,43307,6682,2792,2622,1262,1360
6065043308,"Census Tract 433.08, Riverside County, California","Census Tract 433.08, Riverside County, California",6,65,43308,2886,1115,982,340,642
6065043309,"Census Tract 433.09, Riverside County, California","Census Tract 433.09, Riverside County, California",6,65,43309,2970,1192,985,270,715
6065043310,"Census Tract 433.10, Riverside County, California","Census Tract 433.10, Riverside County, California",6,65,43310,3213,1128,1038,425,613
6065043311,"Census Tract 433.11, Riverside County, California","Census Tract 433.11, Riverside County, California",6,65,43311,2156,711,606,428,178
6065043312,"Census Tract 433.12, Riverside County, California","Census Tract 433.12, Riverside County, California",6,65,43312,4442,1340,1218,744,474
6065043313,"Census Tract 433.13, Riverside County, California","Census Tract 433.13, Riverside County, California",6,65,43313,3617,1150,973,541,432
6065043314,"Census Tract 433.14, Riverside County, California","Census Tract 433.14, Riverside County, California",6,65,43314,3223,1217,1043,757,286
6065043315,"Census Tract 433.15, Riverside County, California","Census Tract 433.15, Riverside County, California",6,65,43315,1728,672,563,467,96
6065043316,"Census Tract 433.16, Riverside County, California","Census Tract 433.16, Riverside County, California",6,65,43316,4146,1886,1741,1329,412
6065043317,"Census Tract 433.17, Riverside County, California","Census Tract 433.17, Riverside County, California",6,65,43317,7717,2389,2066,1609,457
6065043401,"Census Tract 434.01, Riverside County, California","Census Tract 434.01, Riverside County, California",6,65,43401,5494,2300,1907,841,1066
6065043403,"Census Tract 434.03, Riverside County, California","Census Tract 434.03, Riverside County, California",6,65,43403,2895,1117,953,427,526
6065043404,"Census Tract 434.04, Riverside County, California","Census Tract 434.04, Riverside County, California",6,65,43404,2486,1643,1356,823,533
6065043405,"Census Tract 434.05, Riverside County, California","Census Tract 434.05, Riverside County, California",6,65,43405,4624,2314,1904,1068,836
6065043503,"Census Tract 435.03, Riverside County, California","Census Tract 435.03, Riverside County, California",6,65,43503,3887,2446,2032,903,1129
6065043504,"Census Tract 435.04, Riverside County, California","Census Tract 435.04, Riverside County, California",6,65,43504,7407,3207,2587,2099,488
6065043505,"Census Tract 435.05, Riverside County, California","Census Tract 435.05, Riverside County, California",6,65,43505,3067,1862,1734,687,1047
6065043506,"Census Tract 435.06, Riverside County, California","Census Tract 435.06, Riverside County, California",6,65,43506,5900,2562,2097,1730,367
6065043507,"Census Tract 435.07, Riverside County, California","Census Tract 435.07, Riverside County, California",6,65,43507,6816,2651,2389,890,1499
6065043508,"Census Tract 435.08, Riverside County, California","Census Tract 435.08, Riverside County, California",6,65,43508,6755,2829,2651,1874,777
6065043509,"Census Tract 435.09, Riverside County, California","Census Tract 435.09, Riverside County, California",6,65,43509,5353,1890,1650,1234,416
